ENSG	RNA rpkm.human	Protein ibaq.human	RNA rpkm.chimp	Protein ibaq.chimp
ENSG00000131467	18.2398	3691191.98601061	24.155	2978507.70996103
ENSG00000130726	95.7863	3688233.72032159	116.997	2972836.14209913
ENSG00000189043	22.5279	3674497.62984174	10.475	3049280.30147865
ENSG00000197170	18.4977	3658649.00042025	21.0152	3881414.93971869
ENSG00000089009	17.5728	3649561.52215022	11.9868	4183848.97446614
ENSG00000023318	19.1423	3649523.92858338	13.97	3162724.55270086
ENSG00000059573	34.1443	3644813.53340822	40.9924	3780249.61298549
ENSG00000100243	28.5796	3638703.55665217	39.6992	2401828.08416835
ENSG00000134001	22.4921	3629832.95955933	25.7368	4673939.77048832
ENSG00000103653	126.948	3613822.84308085	110.51	3813250.0093884
ENSG00000197958	237.444	3611005.75135339	3.22876	2273533.07184157
ENSG00000165609	21.7142	3580827.35303369	17.0856	1963925.37192655
ENSG00000130313	40.6125	3572141.64003245	23.8182	1698599.71406919
ENSG00000131981	64.2728	3558019.67774097	211.956	2548194.64650193
ENSG00000072778	69.5718	3540506.94584314	75.4052	1979557.35692474
ENSG00000100591	46.4474	3535999.40330721	38.1411	2390666.14686313
ENSG00000078808	31.9505	3533797.03315882	33.4094	12291356.7743911
ENSG00000113643	29.6664	3525667.6422549	36.8266	3814108.6572149
ENSG00000119396	25.692	3523458.59708701	37.455	3743069.2039443
ENSG00000101558	85.5421	3522403.42730053	73.3116	2749631.9114694
ENSG00000013364	48.9835	3507221.81488708	89.4667	7212897.75305747
ENSG00000104852	30.76	3500741.34166451	37.751	3561089.46441794
ENSG00000011304	37.9656	3489692.54519772	52.4884	4142945.94044502
ENSG00000100216	25.5918	3489452.99662301	32.1626	3175879.18189132
ENSG00000124767	67.9664	3475224.90564494	90.2393	3510573.80421366
ENSG00000168906	29.7966	3454057.69663423	40.423	4669797.2256563
ENSG00000143149	24.878	3452879.43431188	27.2779	2267815.88345437
ENSG00000150593	65.039	3436138.32092208	77.2241	2662959.85133903
ENSG00000174840	9.49413	3432106.37191359	9.37047	257082.530622017
ENSG00000100129	119.603	3426957.31083735	187.197	3434650.02935472
ENSG00000169764	17.3304	3422878.37100258	17.208	2180305.05635545
ENSG00000206503	681.954	3422167.09293315	332.85	2507522.5618849
ENSG00000079739	21.6708	3394813.03120978	23.4401	2224015.80127638
ENSG00000090861	57.6074	3385251.00102412	61.2907	2325251.18829036
ENSG00000079785	20.3486	3376116.29503364	25.8217	2625181.51710217
ENSG00000136450	79.8839	3372868.5820528	70.4456	3925599.1473306
ENSG00000187239	72.607	3365959.59294862	87.2448	2985143.27769681
ENSG00000136286	52.5038	3362390.07315076	86.9711	4269658.86913565
ENSG00000095139	50.5494	3354677.80496421	84.2078	4784969.86692433
ENSG00000178035	65.2893	3351966.78451175	82.6421	2925294.47999418
ENSG00000223380	42.8839	3342750.24514456	102.599	6829899.52123957
ENSG00000129083	43.4436	3333045.83828789	61.1435	3856437.99021592
ENSG00000063177	317.82	3328642.39739825	288.489	3558458.24971834
ENSG00000119335	41.5764	3319609.92529694	16.301	2559802.45608327
ENSG00000172081	86.9566	3305586.92787039	82.6141	1731570.40794766
ENSG00000156709	21.8223	3293238.08442854	31.2438	4203374.07492918
ENSG00000101367	15.1749	3284090.0496692	22.9108	3754548.22343216
ENSG00000106605	30.8131	3271386.48071416	86.1269	6434319.51007854
ENSG00000141279	24.3213	3266752.19391931	29.4713	3364685.36120312
ENSG00000143155	30.4005	3265808.31591223	24.3646	889771.725883278
ENSG00000075785	82.5311	3235432.94763046	83.3569	2369856.89567324
ENSG00000132305	33.9681	3220842.83335011	42.2506	1861925.20888476
ENSG00000134308	85.7822	3213620.52717871	219.842	5508539.22762495
ENSG00000163565	237.2	3209606.36017781	144.262	2924067.57719307
ENSG00000089597	43.9429	3207487.53154543	58.1244	3628618.31650973
ENSG00000130985	97.5231	3205034.41743003	93.0969	2345146.05374925
ENSG00000083720	12.2646	3186384.90625869	14.8874	1971450.90646281
ENSG00000125977	7.6165	3183246.97015537	46.6211	3082161.72305481
ENSG00000149781	49.6703	3164312.07298248	48.5032	2458039.85634772
ENSG00000148672	2.01045	3163138.97118147	5.67425	3461438.10885812
ENSG00000026025	82.6593	3161574.22819795	180.476	34038836.9625489
ENSG00000184640	12.2547	3160946.04741418	23.3712	2904618.36781632
ENSG00000162613	30.3093	3160425.687438	31.8178	3531845.44075139
ENSG00000136628	41.7874	3156957.65126405	65.8615	2929970.62272373
ENSG00000130741	70.4968	3156779.32798913	20.3687	3290378.00785791
ENSG00000170606	39.9259	3145215.89781478	53.6997	3124915.72887479
ENSG00000100353	97.0023	3141223.76691803	121.223	2026246.31366351
ENSG00000130204	5.36847	3138575.84270039	7.85447	2348655.85511948
ENSG00000110107	37.3252	3132500.1581149	38.202	3454207.4549449
ENSG00000004700	19.065	3120186.21609988	35.3686	3171641.09288193
